"","Gene","No..isolates"
"301","group_3545",13
"302","group_3526",14
"303","group_3303",14
"304","group_3304",12
"305","group_3305",12
"306","group_3306",12
"307","group_3307",12
"308","group_3308",12
"309","pepB",12
"310","ephD",12
"311","group_3309",12
"312","group_3315",12
"313","group_3310",11
"314","group_3311",11
"315","group_3312",11
"316","group_3313",11
"317","group_3314",11
"318","group_3535",12
"319","group_841",12
"320","group_843",12
"321","group_2342",11
"322","panB",12
"323","group_846",36
"324","group_848",36
"325","group_849",36
"326","group_851",36
"327","group_852",36
"328","cobC",19
"329","ptka",20
"330","ptpA",43
"331","group_855",43
"332","cobD",43
"333","group_858",3
"334","group_2675",43
"335","ahpE",44
"336","group_861",44
"337","group_862",44
"338","aceE",44
"339","group_865",44
"340","fabD",44
"341","group_868",44
"342","group_870",44
"343","group_872",44
"344","group_874",3
"345","group_877",123
"346","group_878",123
"347","group_879",123
"348","group_882",123
"349","group_884",2
"350","group_890",775
"351","group_895",775
"352","group_897",775
"353","group_2682",769
"354","gloB_1",773
"355","group_904",851
"356","group_905",852
"357","cyp124",879
"358","group_910",882
"359","group_913",878
"360","group_2685",882
"361","group_918",886
"362","group_919",885
"363","group_921",885
"364","pitB",890
"365","group_1468",886
"366","lipM",886
"367","group_2164",886
"368","group_2690",886
"369","group_450",887
"370","cdh_1~~~cdh",986
"371","mtnN",1065
"372","group_2693",1064
"373","group_2694",1064
"374","group_933",1064
"375","group_935",1064
"376","group_937",1064
"377","group_939",1064
"378","group_941",1080
"379","group_950",1087
"380","group_955",1268
"381","group_956",573
"382","group_958",2
"383","group_2698",573
"384","group_961",629
"385","group_1761",629
"386","group_963",629
"387","group_965",628
"388","group_2700",632
"389","group_968",632
"390","group_970",632
"391","group_972",632
"392","group_974",632
"393","group_976",632
"394","group_978",632
"395","group_2702",632
"396","group_451",632
"397","group_2703",632
"398","group_984",632
"399","group_986",632
"400","group_988",632
"401","group_2705",632
"402","group_990",2
"403","group_992",633
"404","group_2707",633
"405","narK_1",633
"406","group_2255",632
"407","group_994",631
"408","group_1000",2
"409","stp_2~~~stp_1~~~stp",638
"410","cysK1",638
"411","group_1002",2
"412","group_2711",640
"413","group_1005",1
"414","group_1008",2
"415","group_2712",452
"416","group_1011",473
"417","group_1012",473
"418","group_1014",473
"419","group_1016",473
"420","group_1018",473
"421","group_1019",991
"422","group_1017",991
"423","group_1015",991
"424","group_1013",991
"425","group_1020",991
"426","PE_PGRS39",1013
"427","group_1195",824
"428","group_1001",826
"429","stp",833
"430","group_996",833
"431","group_565",832
"432","group_993",831
"433","PE23",831
"434","group_2708",831
"435","group_1759",832
"436","group_989",832
"437","group_2704",832
"438","yhdG_2",832
"439","group_983",832
"440","group_987",832
"441","group_981",832
